2019-01-25 17:12:18.547830
0.026 724.8
10.043 724.6
20.06 723.0
30.077 721.9
40.1 726.4
50.116 714.5
60.135 709.0
70.156 704.5
80.18 708.8
90.205 690.1
100.219 679.2
110.238 670.6
120.272 681.0
130.289 650.4
140.325 644.4
150.339 633.4
160.353 623.2
170.38 615.6
180.403 587.2
190.427 562.2
200.444 538.6
210.485 519.5
220.501 485.8
230.513 463.0
240.539 430.3
250.557 388.9
260.574 353.4
270.59 323.4
280.603 302.8
290.619 280.5
300.636 262.8
310.659 244.6
320.699 224.7
330.717 211.8
340.735 201.0
350.752 190.0
360.783 183.6
370.801 176.6
380.817 167.6
390.84 162.4
400.853 158.8
410.874 154.7
420.901 149.8
430.936 150.4
440.952 147.3
450.975 148.7
460.992 147.8
471.009 148.1
